id,first_name,last_name,email,phone,state,orders_count,total_spent,created_at,accepts_marketing,_fivetran_synced
28,Iris,Young,iris.young@btinternet.com,+447700900028,enabled,5,145.20,2022-11-08 11:23:55,TRUE,2025-07-19 10:00:00
29,Jasmine,Hernandez,jasmine.hernandez@gmail.com,+447700900029,enabled,18,689.90,2022-11-12 16:35:07,TRUE,2025-07-19 10:00:00
30,Penelope,King,penelope.king@yahoo.co.uk,+447700900030,enabled,7,256.40,2022-11-15 13:11:34,FALSE,2025-07-19 10:00:00
31,Aurora,Wright,aurora.wright@hotmail.co.uk,+447700900031,enabled,13,487.80,2022-11-20 10:57:19,TRUE,2025-07-19 10:00:00
32,Nova,Lopez,nova.lopez@outlook.com,+447700900032,enabled,9,334.60,2022-11-25 15:22:46,TRUE,2025-07-19 10:00:00
33,Hazel,Hill,hazel.hill@gmail.com,+447700900033,enabled,16,612.30,2022-12-01 12:44:52,FALSE,2025-07-19 10:00:00
34,Alice,Scott,alice.scott@btinternet.com,+447700900034,enabled,4,123.70,2022-12-05 09:29:08,TRUE,2025-07-19 10:00:00
35,Eden,Green,eden.green@gmail.com,+447700900035,enabled,20,756.90,2022-12-10 14:15:33,TRUE,2025-07-19 10:00:00
36,Matilda,Adams,matilda.adams@yahoo.co.uk,+447700900036,enabled,8,289.50,2022-12-12 11:38:17,FALSE,2025-07-19 10:00:00
37,Lola,Baker,lola.baker@hotmail.co.uk,+447700900037,enabled,12,445.20,2022-12-18 16:53:41,TRUE,2025-07-19 10:00:00
38,Esme,Gonzalez,esme.gonzalez@outlook.com,+447700900038,enabled,6,198.80,2022-12-22 13:26:54,TRUE,2025-07-19 10:00:00
39,Imogen,Nelson,imogen.nelson@gmail.com,+447700900039,enabled,15,567.40,2023-01-03 10:12:29,FALSE,2025-07-19 10:00:00
40,Florence,Carter,florence.carter@btinternet.com,+447700900040,enabled,9,323.90,2023-01-08 15:47:15,TRUE,2025-07-19 10:00:00
41,Arabella,Mitchell,arabella.mitchell@gmail.com,+447700900041,enabled,11,412.60,2023-01-12 12:31:48,TRUE,2025-07-19 10:00:00
42,Bonnie,Perez,bonnie.perez@yahoo.co.uk,+447700900042,enabled,7,245.30,2023-01-18 09:56:23,FALSE,2025-07-19 10:00:00
43,Delilah,Roberts,delilah.roberts@hotmail.co.uk,+447700900043,enabled,14,523.80,2023-01-22 14:19:36,TRUE,2025-07-19 10:00:00
44,Robyn,Turner,robyn.turner@outlook.com,+447700900044,enabled,5,167.50,2023-01-28 11:42:51,TRUE,2025-07-19 10:00:00
45,Lottie,Phillips,lottie.phillips@gmail.com,+447700900045,enabled,18,678.20,2023-02-02 16:08:14,FALSE,2025-07-19 10:00:00
46,Martha,Campbell,martha.campbell@btinternet.com,+447700900046,enabled,8,287.90,2023-02-08 13:33:47,TRUE,2025-07-19 10:00:00
47,Amelie,Parker,amelie.parker@gmail.com,+447700900047,enabled,12,456.70,2023-02-12 10:17:32,TRUE,2025-07-19 10:00:00
48,Orla,Evans,orla.evans@yahoo.co.uk,+447700900048,enabled,6,189.40,2023-02-18 15:54:09,FALSE,2025-07-19 10:00:00
49,Holly,Edwards,holly.edwards@hotmail.co.uk,+447700900049,enabled,16,612.80,2023-02-22 12:28:55,TRUE,2025-07-19 10:00:00
50,Margot,Collins,margot.collins@outlook.com,+447700900050,enabled,9,334.50,2023-02-28 09:45:18,TRUE,2025-07-19 10:00:00
