id,metric_id,person_id,timestamp,value,uuid,statistic_id,campaign_id,flow_id,event_properties,person_properties,_fivetran_synced
01HJE1A1B2C3D4E5F6G7H8I9K0,01HJ6KS3O4P5Q6R7S8T9U0V1W2,01HJ6KP3K8Z9X7VWQN1MH3R5TH,2022-07-25 11:00:00,,01HJE1A1B2C3D4E5F6G7H8I9K0,,01HJ6KQ1M2N3P4R5S6T7U8V9W4,,"{""$email_domain"": ""gmail.com"", ""$message"": ""Exclusive VIP Preview: New Arrivals 👑"", ""campaign_name"": ""VIP Customer Exclusive""}","{""email"": ""lottie.phillips@gmail.com"", ""customer_status"": ""vip"", ""total_spent"": 79.84}",2024-12-01 00:00:00
01HJE1A1B2C3D4E5F6G7H8I9K1,01HJ6KS3O4P5Q6R7S8T9U0V1W3,01HJ6KP3K8Z9X7VWQN1MH3R5TH,2022-07-25 11:15:00,,01HJE1A1B2C3D4E5F6G7H8I9K1,,01HJ6KQ1M2N3P4R5S6T7U8V9W4,,"{""$email_domain"": ""gmail.com"", ""$message"": ""Exclusive VIP Preview: New Arrivals 👑"", ""campaign_name"": ""VIP Customer Exclusive""}","{""email"": ""lottie.phillips@gmail.com"", ""customer_status"": ""vip"", ""total_spent"": 79.84}",2024-12-01 00:00:00
01HJE1A1B2C3D4E5F6G7H8I9K2,01HJ6KS3O4P5Q6R7S8T9U0V1W4,01HJ6KP3K8Z9X7VWQN1MH3R5TH,2022-07-25 11:18:00,,01HJE1A1B2C3D4E5F6G7H8I9K2,,01HJ6KQ1M2N3P4R5S6T7U8V9W4,,"{""$email_domain"": ""gmail.com"", ""$message"": ""Exclusive VIP Preview: New Arrivals 👑"", ""campaign_name"": ""VIP Customer Exclusive"", ""url"": ""https://belleandglow.co.uk/vip?utm_source=klaviyo&utm_medium=email&utm_campaign=vip_preview""}","{""email"": ""lottie.phillips@gmail.com"", ""customer_status"": ""vip"", ""total_spent"": 79.84}",2024-12-01 00:00:00
01HJE1A1B2C3D4E5F6G7H8I9K3,01HJ6KS3O4P5Q6R7S8T9U0V1W2,01HJ6KP3K8Z9X7VWQN1MH3R5TD,2022-08-01 13:00:00,,01HJE1A1B2C3D4E5F6G7H8I9K3,,01HJ6KQ1M2N3P4R5S6T7U8V9W5,,"{""$email_domain"": ""yahoo.co.uk"", ""$message"": ""🎉 Good News! Your Wishlist Items Are Back"", ""campaign_name"": ""Back in Stock Alert""}","{""email"": ""olivia.johnson@yahoo.co.uk"", ""customer_status"": ""returning"", ""total_spent"": 456.80}",2024-12-01 00:00:00
01HJE1A1B2C3D4E5F6G7H8I9K4,01HJ6KS3O4P5Q6R7S8T9U0V1W3,01HJ6KP3K8Z9X7VWQN1MH3R5TD,2022-08-01 13:22:00,,01HJE1A1B2C3D4E5F6G7H8I9K4,,01HJ6KQ1M2N3P4R5S6T7U8V9W5,,"{""$email_domain"": ""yahoo.co.uk"", ""$message"": ""🎉 Good News! Your Wishlist Items Are Back"", ""campaign_name"": ""Back in Stock Alert""}","{""email"": ""olivia.johnson@yahoo.co.uk"", ""customer_status"": ""returning"", ""total_spent"": 456.80}",2024-12-01 00:00:00
01HJE1A1B2C3D4E5F6G7H8I9K5,01HJ6KS3O4P5Q6R7S8T9U0V1W4,01HJ6KP3K8Z9X7VWQN1MH3R5TD,2022-08-01 14:05:00,,01HJE1A1B2C3D4E5F6G7H8I9K5,,01HJ6KQ1M2N3P4R5S6T7U8V9W5,,"{""$email_domain"": ""yahoo.co.uk"", ""$message"": ""🎉 Good News! Your Wishlist Items Are Back"", ""campaign_name"": ""Back in Stock Alert"", ""url"": ""https://belleandglow.co.uk/wishlist?utm_source=klaviyo&utm_medium=email&utm_campaign=back_in_stock""}","{""email"": ""olivia.johnson@yahoo.co.uk"", ""customer_status"": ""returning"", ""total_spent"": 456.80}",2024-12-01 00:00:00
01HJE1A1B2C3D4E5F6G7H8I9K6,01HJ6KS3O4P5Q6R7S8T9U0V1W2,01HJ6KP3K8Z9X7VWQN1MH3R5TI,2022-08-05 09:00:00,,01HJE1A1B2C3D4E5F6G7H8I9K6,,01HJ6KQ1M2N3P4R5S6T7U8V9W6,,"{""$email_domain"": ""gmail.com"", ""$message"": ""This Week in Beauty: Trends & Tips 📰"", ""campaign_name"": ""Weekly Newsletter""}","{""email"": ""alice.wilson@gmail.com"", ""customer_status"": ""returning"", ""total_spent"": 234.50}",2024-12-01 00:00:00
01HJE1A1B2C3D4E5F6G7H8I9K7,01HJ6KS3O4P5Q6R7S8T9U0V1W3,01HJ6KP3K8Z9X7VWQN1MH3R5TI,2022-08-05 09:30:00,,01HJE1A1B2C3D4E5F6G7H8I9K7,,01HJ6KQ1M2N3P4R5S6T7U8V9W6,,"{""$email_domain"": ""gmail.com"", ""$message"": ""This Week in Beauty: Trends & Tips 📰"", ""campaign_name"": ""Weekly Newsletter""}","{""email"": ""alice.wilson@gmail.com"", ""customer_status"": ""returning"", ""total_spent"": 234.50}",2024-12-01 00:00:00
01HJE1A1B2C3D4E5F6G7H8I9K8,01HJ6KS3O4P5Q6R7S8T9U0V1W2,01HJ6KP3K8Z9X7VWQN1MH3R5TJ,2022-08-12 12:00:00,,01HJE1A1B2C3D4E5F6G7H8I9K8,,01HJ6KQ1M2N3P4R5S6T7U8V9W7,,"{""$email_domain"": ""outlook.com"", ""$message"": ""Happy Birthday! Here's Your Special Gift 🎂"", ""campaign_name"": ""Birthday Special""}","{""email"": ""grace.taylor@outlook.com"", ""customer_status"": ""new"", ""total_spent"": 67.30}",2024-12-01 00:00:00
01HJE1A1B2C3D4E5F6G7H8I9K9,01HJ6KS3O4P5Q6R7S8T9U0V1W3,01HJ6KP3K8Z9X7VWQN1MH3R5TJ,2022-08-12 12:25:00,,01HJE1A1B2C3D4E5F6G7H8I9K9,,01HJ6KQ1M2N3P4R5S6T7U8V9W7,,"{""$email_domain"": ""outlook.com"", ""$message"": ""Happy Birthday! Here's Your Special Gift 🎂"", ""campaign_name"": ""Birthday Special""}","{""email"": ""grace.taylor@outlook.com"", ""customer_status"": ""new"", ""total_spent"": 67.30}",2024-12-01 00:00:00
01HJE1A1B2C3D4E5F6G7H8I9L0,01HJ6KS3O4P5Q6R7S8T9U0V1W4,01HJ6KP3K8Z9X7VWQN1MH3R5TJ,2022-08-12 12:35:00,,01HJE1A1B2C3D4E5F6G7H8I9L0,,01HJ6KQ1M2N3P4R5S6T7U8V9W7,,"{""$email_domain"": ""outlook.com"", ""$message"": ""Happy Birthday! Here's Your Special Gift 🎂"", ""campaign_name"": ""Birthday Special"", ""url"": ""https://belleandglow.co.uk/birthday?utm_source=klaviyo&utm_medium=email&utm_campaign=birthday_special""}","{""email"": ""grace.taylor@outlook.com"", ""customer_status"": ""new"", ""total_spent"": 67.30}",2024-12-01 00:00:00
01HJE1A1B2C3D4E5F6G7H8I9L1,01HJ6KS3O4P5Q6R7S8T9U0V1W0,01HJ6KP3K8Z9X7VWQN1MH3R5TB,2022-07-23 16:30:00,,01HJE1A1B2C3D4E5F6G7H8I9L1,,01HJ6KQ1M2N3P4R5S6T7U8V9W3,,"{""$email_domain"": ""hotmail.co.uk"", ""$message"": ""Don't forget your beauty essentials! 🛒"", ""campaign_name"": ""Cart Recovery""}","{""email"": ""sophie.williams@hotmail.co.uk"", ""customer_status"": ""returning"", ""total_spent"": 312.75}",2024-12-01 00:00:00
01HJE1A1B2C3D4E5F6G7H8I9L2,01HJ6KS3O4P5Q6R7S8T9U0V1W3,01HJ6KP3K8Z9X7VWQN1MH3R5TB,2022-07-23 17:15:00,,01HJE1A1B2C3D4E5F6G7H8I9L2,,01HJ6KQ1M2N3P4R5S6T7U8V9W3,,"{""$email_domain"": ""hotmail.co.uk"", ""$message"": ""Don't forget your beauty essentials! 🛒"", ""campaign_name"": ""Cart Recovery""}","{""email"": ""sophie.williams@hotmail.co.uk"", ""customer_status"": ""returning"", ""total_spent"": 312.75}",2024-12-01 00:00:00
01HJE1A1B2C3D4E5F6G7H8I9L3,01HJ6KS3O4P5Q6R7S8T9U0V1W4,01HJ6KP3K8Z9X7VWQN1MH3R5TB,2022-07-23 17:45:00,,01HJE1A1B2C3D4E5F6G7H8I9L3,,01HJ6KQ1M2N3P4R5S6T7U8V9W3,,"{""$email_domain"": ""hotmail.co.uk"", ""$message"": ""Don't forget your beauty essentials! 🛒"", ""campaign_name"": ""Cart Recovery"", ""url"": ""https://belleandglow.co.uk/cart?utm_source=klaviyo&utm_medium=email&utm_campaign=cart_recovery""}","{""email"": ""sophie.williams@hotmail.co.uk"", ""customer_status"": ""returning"", ""total_spent"": 312.75}",2024-12-01 00:00:00
