id,first_name,last_name,email,phone,state,orders_count,total_spent,created_at,accepts_marketing,_fivetran_synced
30,Penelope,King,penelope.king@yahoo.co.uk,447700900030,enabled,7,256.4,2022-10-29 09:37:00,False,2025-07-19 10:00:00
31,Aurora,Wright,aurora.wright@hotmail.co.uk,447700900031,enabled,13,487.8,2023-09-08 09:37:00,True,2025-07-19 10:00:00
32,Nova,Lopez,nova.lopez@outlook.com,447700900032,enabled,9,334.6,2025-07-18 19:58:05,True,2025-07-19 10:00:00
33,Hazel,Hill,hazel.hill@gmail.com,447700900033,enabled,16,612.3,2022-12-16 09:37:00,False,2025-07-19 10:00:00
34,Alice,Scott,alice.scott@btinternet.com,447700900034,enabled,4,123.7,2022-09-18 09:37:00,True,2025-07-19 10:00:00
35,Eden,Green,eden.green@gmail.com,447700900035,enabled,20,756.9,2025-05-18 09:37:00,True,2025-07-19 10:00:00
36,Matilda,Adams,matilda.adams@yahoo.co.uk,447700900036,enabled,8,289.5,2022-09-03 09:37:00,False,2025-07-19 10:00:00
37,Lola,Baker,lola.baker@hotmail.co.uk,447700900037,enabled,12,445.2,2022-12-06 09:37:00,True,2025-07-19 10:00:00
38,Esme,Gonzalez,esme.gonzalez@outlook.com,447700900038,enabled,6,198.8,2024-03-02 09:37:00,True,2025-07-19 10:00:00
39,Imogen,Nelson,imogen.nelson@gmail.com,447700900039,enabled,15,567.4,2022-10-01 09:37:00,False,2025-07-19 10:00:00
40,Florence,Carter,florence.carter@btinternet.com,447700900040,enabled,9,323.9,2022-10-09 09:37:00,True,2025-07-19 10:00:00
41,Arabella,Mitchell,arabella.mitchell@gmail.com,447700900041,enabled,11,412.6,2023-05-17 09:37:00,True,2025-07-19 10:00:00
42,Bonnie,Perez,bonnie.perez@yahoo.co.uk,447700900042,enabled,7,245.3,2024-01-08 09:37:00,False,2025-07-19 10:00:00
43,Delilah,Roberts,delilah.roberts@hotmail.co.uk,447700900043,enabled,14,523.8,2022-12-04 09:37:00,True,2025-07-19 10:00:00
44,Robyn,Turner,robyn.turner@outlook.com,447700900044,enabled,5,167.5,2024-10-15 09:37:00,True,2025-07-19 10:00:00
45,Lottie,Phillips,lottie.phillips@gmail.com,447700900045,enabled,18,678.2,2024-12-17 09:37:00,False,2025-07-19 10:00:00
46,Martha,Campbell,martha.campbell@btinternet.com,447700900046,enabled,8,287.9,2024-02-28 09:37:00,True,2025-07-19 10:00:00
47,Amelie,Parker,amelie.parker@gmail.com,447700900047,enabled,12,456.7,2023-09-09 09:37:00,True,2025-07-19 10:00:00
48,Orla,Evans,orla.evans@yahoo.co.uk,447700900048,enabled,6,189.4,2024-04-21 09:37:00,False,2025-07-19 10:00:00
49,Holly,Edwards,holly.edwards@hotmail.co.uk,447700900049,enabled,16,612.8,2024-02-01 09:37:00,True,2025-07-19 10:00:00
50,Margot,Collins,margot.collins@outlook.com,447700900050,enabled,9,334.5,2022-11-21 09:37:00,True,2025-07-19 10:00:00
